Name,Hash,Id,Tag,Tier,Type,Source,Category,Element,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Stability,ROF,Reload,Mag,Equip,Charge Time,Draw Time,Accuracy,Charge Rate,Guard Resistance,Guard Efficiency,Guard Endurance,Swing Speed,Shield Duration,Airborne Effectiveness,Crafted,Crafted Level,Kill Tracker,Foundry,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15,Perks 16,Perks 17
Submission,3886416794,"""6917529829083848394""",,Legendary,Submachine Gun,votd,KineticSlot,Kinetic,1600,,"Range, Stability, Handling, Reload Speed, Blast Radius, Velocity, Accuracy",10,Hunter(1608),FALSE,FALSE,5,16,,100,58,15,56,15,0,0,54,900,31,37,72,0,0,0,0,0,0,0,0,0,27,TRUE,80,6065,,,Lightweight Frame*,Smallbore*,Accurized Rounds*,Perpetual Motion*,Killing Wind*,Regal Daring*,Taken Spec*,*,Souldrinker*,Kill Tracker*,Crucible Tracker,Shaped Weapon*,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,
Burden of Guilt,933455006,"""6917529840389197654""",,Legendary,Fusion Rifle,trials,KineticSlot,Stasis,1600,,Range,1,Hunter(1608),FALSE,FALSE,5,17,,65,52,70,42,15,0,0,49,0,11,8,27,660,0,0,0,0,0,0,0,0,8,FALSE,0,0,,,Adaptive Frame*,Chambered Compensator*,Full Bore,Ionized Battery*,Liquid Coils,Killing Wind*,Harmony*,Tier 1 Weapon*,Alacrity*,One Quiet Moment,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Seventh Seraph Carbine,4070357005,"""6917529848562378767""",,Legendary,Auto Rifle,,KineticSlot,Kinetic,1600,,Stability,1,Hunter(1608),FALSE,FALSE,0,,,74,34,29,83,16,0,0,30,450,41,34,34,0,0,0,0,0,0,0,0,0,17,FALSE,0,0,,,Precision Frame*,Full Bore*,Hammer-Forged Rifling,Accurized Rounds*,Steady Rounds,Pugilist*,Frenzy*,Tier 1 Weapon*,Rasputin's Arsenal*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,
Blood Feud,1509167284,"""6917529829637672584""",,Legendary,Submachine Gun,plunder,KineticSlot,Stasis,1600,,Stability,3,Hunter(1608),FALSE,FALSE,5,18,,100,30,22,37,14,0,0,14,750,21,29,58,0,0,0,0,0,0,0,0,0,19,FALSE,0,0,,,Aggressive Frame*,Arrowhead Brake*,Extended Barrel,Appended Mag*,Extended Mag,Dynamic Sway Reduction*,Elemental Capacitor*,Tier 3 Weapon*,Right Hook*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,
Cloudstrike,2603483885,"""6917529823969219190""",,Exotic,Sniper Rifle,europa,Energy,Arc,1600,,,,Hunter(1608),TRUE,FALSE,4,12,,68,68,55,60,50,0,0,64,140,40,7,61,0,0,0,0,0,0,0,0,0,7,FALSE,0,0,,,Mortal Polarity*,Fluted Barrel*,Alloy Magazine*,Stormbringer*,Hand-Laid Stock*,The Old Ways*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,
Delicate Tomb,374573733,"""6917529864618304663""",,Exotic,Fusion Rifle,,Energy,Arc,1600,,,,Hunter(1608),FALSE,FALSE,5,18,,95,35,60,29,15,0,0,37,0,48,6,86,500,0,0,0,0,0,0,0,0,6,FALSE,0,0,,,Traitor's Vessel*,Fluted Barrel*,Liquid Coils*,Tempest Cascade*,Short-Action Stock*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,*,,,,,,,,
The Inquisitor,2185327324,"""6917529829222458046""",,Legendary,Shotgun,,Energy,Arc,1600,,Stability,2,Hunter(1608),TRUE,FALSE,5,18,,50,35,70,90,12,0,0,59,65,52,6,76,0,0,0,0,0,0,0,0,0,5,FALSE,0,0,suros,,Pinpoint Slug Frame*,Arrowhead Brake,Smallbore*,Steady Rounds,Accurized Rounds*,Steady Hands*,Fragile Focus*,Tier 2 Weapon*,Alacrity*,One Quiet Moment,Suros Synergy,Kill Tracker,Crucible Tracker*,*,,,,
Tarnished Mettle,2218569744,"""6917529829670016189""",,Legendary,Scout Rifle,plunder,Energy,Arc,1600,,Handling,3,Hunter(1608),FALSE,FALSE,5,18,,52,73,60,30,20,0,0,53,200,53,16,74,0,0,0,0,0,0,0,0,0,25,FALSE,0,80,,,Lightweight Frame*,Corkscrew Rifling*,Full Bore,Steady Rounds*,Flared Magwell,Steady Hands*,Swashbuckler*,Tier 3 Weapon*,Right Hook*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,
Cry Mutiny,616582330,"""6917529823281050805""",,Legendary,Grenade Launcher,crucible,Power,Solar,1600,,Blast Radius,10,Hunter(1608),TRUE,FALSE,5,18,,58,62,0,0,13,65,23,42,120,55,6,37,0,0,0,0,0,0,0,0,0,12,FALSE,0,7,,,Adaptive Frame*,Volatile Launch*,Mini Frags*,Incandescent,Demolitionist*,Swashbuckler,Vorpal Weapon*,Transcendental Ambition*,Boss Spec*,Masterwork*,Kill Tracker*,Crucible Tracker,Vanguard's Vindication*,One Quiet Moment,Gun and Run,,,
Shining Sphere,136525518,"""6917529317246458230""",,Legendary,Rocket Launcher,ironbanner,Power,Arc,1600,,Velocity,10,Hunter(1608),TRUE,FALSE,3,11,,60,58,0,0,20,70,54,29,20,39,1,34,0,0,0,0,0,0,0,0,0,3,FALSE,0,151,suros,,Adaptive Frame*,Volatile Launch*,Confined Launch,Black Powder*,Implosion Rounds,Auto-Loading Holster*,Tracking Module*,House of Meyrin*,Boss Spec*,Masterwork*,Kill Tracker*,Crucible Tracker,,,,,,
Taipan-4fr,1911060537,"""6917529829090681182""",,Legendary,Linear Fusion Rifle,legendaryengram,Power,Void,1600,,,,Hunter(1608),TRUE,FALSE,5,18,,69,64,38,48,25,0,0,53,0,29,5,36,533,0,0,0,0,0,0,0,0,9,TRUE,17,81,veist,,Precision Frame*,Polygonal Rifling*,Accelerated Coils*,Ensemble*,Snapshot Sights*,Echoed Anger*,*,Veist Stinger*,Kill Tracker*,Crucible Tracker,Shaped Weapon*,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,
Threaded Needle,3075224551,"""6917529864868784320""",,Legendary,Linear Fusion Rifle,seasonpass,Power,Void,1600,,"Charge Time, Impact",1,Hunter(1608),FALSE,FALSE,4,13,,65,62,44,37,25,0,0,52,0,20,5,43,530,0,0,0,0,0,0,0,0,6,FALSE,0,0,,,Precision Frame*,Fluted Barrel*,Liquid Coils*,Clown Cartridge*,Dragonfly*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,,,,
Salvation's Grip,370712896,"""6917529728848738913""",,Exotic,Grenade Launcher,europa,Power,Stasis,1600,,,,Hunter(1608),FALSE,FALSE,4,12,,63,68,0,0,13,55,37,36,120,55,8,57,0,0,0,0,0,0,0,0,0,19,FALSE,0,0,,,Cryocannon*,Linear Compensator*,Alloy Casing*,Flash Freeze*,Polymer Grip*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,
